sample_id,property,scenario_id,model_suffix,version,success_or_violation
1,P1,s94,gpt_oss_20b,control,violation
2,P1,s94,gpt_oss_120b,control,violation
3,P1,s99,qwen3_next_80b,control,violation
4,P1,s91,gpt_oss_20b,control,violation
5,P1,s20,llama31_70b,treated,success
6,P1,s94,kimi_k2_thinking,treated,success
7,P1,s97,kimi_k25,treated,success
8,P1,s92,glm_5,control,success
9,P1,s96,gpt_oss_120b,control,success
10,P1,s89,gpt_oss_20b,control,success
11,P1,s98,mistral_large_3,treated,success
12,P1,s90,mistral_large_2402,control,success
13,P1,s88,qwen3_32b,treated,success
14,P1,s98,glm_47,control,success
15,P1,s70,llama31_8b,control,success
16,P1,s98,qwen3_next_80b,control,success
17,P1,s69,deepseek_v32,treated,success
18,P1,s88,deepseek_v32,control,success
19,P1,s72,qwen3_next_80b,control,success
20,P1,s97,llama31_8b,treated,success
21,P1,s97,glm_47,control,success
22,P1,s93,qwen3_32b,control,success
23,P1,s92,mistral_large_2402,treated,success
24,P1,s100,mistral_large_3,treated,success
25,P1,s99,gpt_oss_20b,treated,success
26,P1,s69,gpt_oss_120b,treated,success
27,P1,s71,glm_5,treated,success
28,P1,s70,kimi_k25,control,success
29,P1,s93,kimi_k2_thinking,control,success
30,P1,s70,llama31_70b,treated,success
31,P2,s76,glm_47,control,violation
32,P2,s82,gpt_oss_120b,control,violation
33,P2,s14,deepseek_v32,control,violation
34,P2,s85,kimi_k2_thinking,control,violation
35,P2,s10,qwen3_next_80b,control,violation
36,P2,s82,gpt_oss_20b,control,violation
37,P2,s81,mistral_large_3,control,violation
38,P2,s14,mistral_large_2402,control,violation
39,P2,s81,kimi_k25,control,violation
40,P2,s77,glm_5,control,violation
41,P2,s87,glm_5,control,violation
42,P2,s81,mistral_large_2402,control,violation
43,P2,s83,gpt_oss_20b,control,violation
44,P2,s11,qwen3_next_80b,control,violation
45,P2,s77,kimi_k2_thinking,control,violation
46,P2,s83,glm_47,treated,success
47,P2,s79,qwen3_next_80b,control,success
48,P2,s82,llama31_8b,treated,success
49,P2,s79,qwen3_32b,treated,success
50,P2,s78,llama31_70b,treated,success
51,P2,s87,kimi_k25,treated,success
52,P2,s86,gpt_oss_120b,control,success
53,P2,s09,mistral_large_2402,control,success
54,P2,s76,mistral_large_3,treated,success
55,P2,s79,glm_5,control,success
56,P2,s11,gpt_oss_20b,treated,success
57,P2,s16,kimi_k2_thinking,treated,success
58,P2,s11,deepseek_v32,treated,success
59,P2,s16,deepseek_v32,treated,success
60,P2,s83,kimi_k2_thinking,control,success
61,P3,s25,glm_47,treated,violation
62,P3,s44,kimi_k25,treated,violation
63,P3,s28,mistral_large_2402,control,violation
64,P3,s41,deepseek_v32,control,violation
65,P3,s37,glm_5,control,violation
66,P3,s32,qwen3_next_80b,treated,violation
67,P3,s26,llama31_70b,control,violation
68,P3,s29,gpt_oss_20b,control,violation
69,P3,s35,gpt_oss_120b,control,violation
70,P3,s26,mistral_large_3,control,violation
71,P3,s36,qwen3_32b,control,violation
72,P3,s27,llama31_8b,control,violation
